Notes,current_age,retirement_age,current_savings,savings_after_disability,additional_annual_savings,portfolio,annual_expenses_start_year,annual_expenses_length,annual_expenses_amount,age,portfolio_value_expected,portfolio_value_ub,portfolio_value_lb,income_expected,income_ub,income_lb
disability case 1 - younger age,10,65,200000,100000,0,MPU_ES010,1,55,24000,10,200000,200000,200000,82398.49033,82398.49033,82398.49033
disability case 1 - younger age,10,65,200000,100000,0,MPU_ES010,1,55,24000,11,78775.28286,81437.40094,76120.2753,31739.89418,34638.05342,28872.69006
disability case 1 - younger age,10,65,200000,100000,0,MPU_ES010,1,55,24000,12,56852.75762,60230.95166,53503.79408,22380.44523,25412.97342,19390.29456
disability case 1 - younger age,10,65,200000,100000,0,MPU_ES010,1,55,24000,13,34214.27653,37952.7836,30472.38317,13157.6196,15577.21792,10730.13982
disability case 1 - younger age,10,65,200000,100000,0,MPU_ES010,1,55,24000,14,10840.21126,14731.65451,6977.667404,4070.276635,5671.613259,2463.130319
disability case 1 - younger age,10,65,200000,100000,0,MPU_ES010,1,55,24000,15,-13296.46095,-9253.273233,-17316.66705,-4876.044504,-3174.423708,-6611.466158
disability case 1 - younger age,10,65,200000,100000,0,MPU_ES010,1,55,24000,16,-38212.65816,-33974.40442,-42501.55955,-13687.53522,-10525.55714,-16867.88288
disability case 1 - younger age,10,65,200000,100000,0,MPU_ES010,1,55,24000,17,-63941.30906,-59263.32226,-68626.91366,-22377.65935,-17196.55493,-27502.93143
disability case 1 - younger age,10,65,200000,100000,0,MPU_ES010,1,55,24000,18,-90519.78775,-85046.72869,-96012.00823,-30915.49461,-23384.20191,-38436.50661
disability case 1 - younger age,10,65,200000,100000,0,MPU_ES010,1,55,24000,19,-117939.1127,-111425.8483,-124543.5933,-39373.39923,-29420.77943,-49346.66546
disability case 1 - younger age,10,65,200000,100000,0,MPU_ES010,1,55,24000,20,-146287.3244,-138271.1256,-154330.5294,-47698.70995,-35011.45583,-60269.13044
disability case 1 - younger age,10,65,200000,100000,0,MPU_ES010,1,55,24000,21,-175578.7451,-165902.4728,-185406.4333,-56022.53581,-40459.08191,-71297.03519
disability case 1 - younger age,10,65,200000,100000,0,MPU_ES010,1,55,24000,22,-205772.6137,-194275.0436,-217282.6705,-64075.17371,-45493.58225,-82439.33957
disability case 1 - younger age,10,65,200000,100000,0,MPU_ES010,1,55,24000,23,-236950.3336,-223196.4793,-250711.1857,-72089.337,-50331.74075,-93706.08111
disability case 1 - younger age,10,65,200000,100000,0,MPU_ES010,1,55,24000,24,-269036.0871,-252844.8001,-285227.5168,-79939.44791,-54948.17612,-104668.3831
disability case 1 - younger age,10,65,200000,100000,0,MPU_ES010,1,55,24000,25,-302317.4751,-283403.8779,-321316.0373,-87772.09275,-59397.20402,-116005.6127
disability case 1 - younger age,10,65,200000,100000,0,MPU_ES010,1,55,24000,26,-336638.7837,-314693.1964,-358485.1601,-95505.93393,-63722.0755,-126547.8453
disability case 1 - younger age,10,65,200000,100000,0,MPU_ES010,1,55,24000,27,-372095.6947,-346983.44,-397399.0828,-103187.7525,-67849.10546,-138247.3325
disability case 1 - younger age,10,65,200000,100000,0,MPU_ES010,1,55,24000,28,-408702.1142,-379980.0267,-437663.011,-110712.4712,-71450.38459,-149350.0256
disability case 1 - younger age,10,65,200000,100000,0,MPU_ES010,1,55,24000,29,-446295.9205,-413721.142,-478887.1556,-118335.1993,-75117.54043,-160502.0245
disability case 1 - younger age,10,65,200000,100000,0,MPU_ES010,1,55,24000,30,-485187.919,-448893.0978,-521556.6523,-125576.5433,-79064.11277,-171182.2652
