dummy,current_age,retirement_age,earnings_level,current_savings,savings_after_divorce,additional_annual_savings,portfolio,age,portfolio_value_expected,portfolio_value_ub,portfolio_value_lb,income_expected,income_ub,income_lb
x,40,65,low,100000,50000,0,MPU_ES010,40,100000,100000,100000,11825.38329,11825.38329,11825.38329
x,40,65,low,100000,50000,0,MPU_ES010,41,51627.36112,53200.75943,50050.65978,5967.750547,6417.024063,5519.333224
x,40,65,low,100000,50000,0,MPU_ES010,42,53309.80333,55633.2875,50997.01141,6013.661485,6660.727108,5359.795048
x,40,65,low,100000,50000,0,MPU_ES010,43,55043.55846,57916.57918,52130.7632,6057.709345,6858.066967,5267.272646
x,40,65,low,100000,50000,0,MPU_ES010,44,56839.121,60256.15794,53388.74256,6102.380827,7037.250351,5176.691936
x,40,65,low,100000,50000,0,MPU_ES010,45,58702.4486,62714.68225,54726.88473,6144.644319,7201.006894,5108.77561
x,40,65,low,100000,50000,0,MPU_ES010,46,60600.50426,65128.04733,56078.37067,6193.374096,7330.820076,5059.035494
x,40,65,low,100000,50000,0,MPU_ES010,47,62593.55463,67614.35954,57520.33149,6240.664516,7467.102,5001.162049
x,40,65,low,100000,50000,0,MPU_ES010,48,64648.17151,70272.07387,59017.56612,6285.881823,7600.089982,4963.692877
x,40,65,low,100000,50000,0,MPU_ES010,49,66758.10381,72806.5891,60588.65782,6326.309712,7731.569586,4910.195364
x,40,65,low,100000,50000,0,MPU_ES010,50,68938.15082,75537.73157,62264.14065,6375.465513,7879.220159,4883.637514
x,40,65,low,100000,50000,0,MPU_ES010,51,71202.91504,78391.52269,63951.2458,6423.674847,8009.37737,4847.432088
x,40,65,low,100000,50000,0,MPU_ES010,52,73502.39255,81287.1505,65753.87961,6470.941106,8134.744154,4810.322561
x,40,65,low,100000,50000,0,MPU_ES010,53,75876.6796,84205.42557,67534.41643,6527.390032,8301.414161,4780.201629
x,40,65,low,100000,50000,0,MPU_ES010,54,78337.74139,87229.46831,69414.31847,6583.722312,8428.767491,4750.911636
x,40,65,low,100000,50000,0,MPU_ES010,55,80903.44715,90531.46754,71241.33648,6638.948351,8558.954805,4721.674034
